Tipo_accidente,Longitude,Diseño Via,Minute,Hour,Day_of_week,Day_of_year,Month,Latitude,Class
Atropello,-75.5495032829,Tramo de via,40,5,4,1,1,6.27551818007,1
Choque,-75.5978415739,Tramo de via,0,6,4,1,1,6.25834680502,1
Atropello,-75.5484984355,Tramo de via,15,6,4,1,1,6.24731094614,1
Choque,-75.6293732396,Tramo de via,30,6,4,1,1,6.24962424133,1
Atropello,-75.7037762763,Tramo de via,0,7,4,1,1,6.22141524356,1
Atropello,-75.5559476823,Tramo de via,0,7,4,1,1,6.30575491134,1
Choque,-75.5656686317,Tramo de via,0,9,4,1,1,6.30712278234,0
Choque,-75.5919964321,Interseccion,10,9,4,1,1,6.28951012723,0
Atropello,-75.5789883789,Tramo de via,30,9,4,1,1,6.29195905668,1
Caida Ocupante,-75.5861923792,Tramo de via,30,9,4,1,1,6.28295644652,1
Choque,-75.5747913035,Glorieta,10,10,4,1,1,6.30388552638,1
Atropello,-75.5646944961,Interseccion,38,10,4,1,1,6.24925783096,1
Choque,-75.580854648,Tramo de via,0,11,4,1,1,6.19507345612,1
Atropello,-75.5618923351,Tramo de via,10,12,4,1,1,6.2414452865,1
Caida Ocupante,-75.5862641905,Tramo de via,0,13,4,1,1,6.28586913632,1
Choque,-75.5466980982,Tramo de via,0,13,4,1,1,6.26485768585,1
Atropello,-75.5555855603,Tramo de via,30,13,4,1,1,6.2961401969,1
Caida Ocupante,-75.5562751996,Tramo de via,30,14,4,1,1,6.28206026081,1
Caida Ocupante,-75.7037762763,Tramo de via,0,15,4,1,1,6.22141524356,1
Caida Ocupante,-75.5770391658,Tramo de via,30,15,4,1,1,6.30998836022,1
Atropello,-75.7037762763,Tramo de via,0,16,4,1,1,6.22141524356,1
Caida Ocupante,-75.5790096564,Tramo de via,10,16,4,1,1,6.27164675029,1
Choque,-75.5790096564,Tramo de via,20,16,4,1,1,6.27164675029,0
Caida Ocupante,-75.5951218662,Tramo de via,30,16,4,1,1,6.28097230126,1
Caida Ocupante,-75.7037762763,Tramo de via,30,16,4,1,1,6.22141524356,1
Otro,-75.5694937518,Tramo de via,30,16,4,1,1,6.25306220427,1
Choque,-75.5563760599,Tramo de via,40,16,4,1,1,6.26146530021,1
Atropello,-75.5730009697,Tramo de via,15,17,4,1,1,6.27614313661,1
Choque,-75.6350197028,Tramo de via,30,17,4,1,1,6.27500192021,0
Choque,-75.6514639193,Tramo de via,30,17,4,1,1,6.18489314232,1
Caida Ocupante,-75.6554130938,Tramo de via,0,18,4,1,1,6.18346406983,1
Caida Ocupante,-75.5972052699,Tramo de via,30,18,4,1,1,6.278480668,1
Choque,-75.5590801533,Interseccion,30,18,4,1,1,6.20895664121,1
Choque,-75.5874614106,Tramo de via,40,18,4,1,1,6.22172152919,0
Choque,-75.5545095208,Tramo de via,45,18,4,1,1,6.23799309807,0
Choque,-75.567185025,Tramo de via,50,18,4,1,1,6.3078025665,0
Choque,-75.6376321136,Tramo de via,0,19,4,1,1,6.27559896551,1
Choque,-75.6131620168,Tramo de via,20,19,4,1,1,6.24435131805,0
Choque,-75.6016091233,Interseccion,50,19,4,1,1,6.22683258464,1
Otro,-75.580213119,Tramo de via,0,20,4,1,1,6.19477190577,1
Choque,-75.5770703369,Tramo de via,15,20,4,1,1,6.26708406714,1
Atropello,-75.5855796942,Tramo de via,30,20,4,1,1,6.29530602697,1
