Tipo_accidente,Longitude,Diseño Via,Minute,Hour,Day_of_week,Day_of_year,Month,Latitude,Class
Atropello,-75.5952748333,Tramo de via,10,5,6,1,1,6.27829779541,1
Choque,-75.5394518,Tramo de via,20,5,6,1,1,6.23839126486,1
Choque,-75.6103897176,Tramo de via,20,5,6,1,1,6.25400149771,1
Choque,-75.5493372942,Interseccion,25,6,6,1,1,6.27637506567,0
Caida Ocupante,-75.5510350391,Tramo de via,30,6,6,1,1,6.25785794276,1
Choque,-75.5821459552,Tramo de via,30,6,6,1,1,6.28745035855,1
Atropello,-75.5643108059,Interseccion,40,6,6,1,1,6.27634948824,1
Caida Ocupante,-75.5753574206,Tramo de via,50,6,6,1,1,6.24245258141,1
Otro,-75.5516226394,Tramo de via,10,7,6,1,1,6.26792160796,1
Choque,-75.5482815083,Interseccion,15,7,6,1,1,6.26226139012,1
Choque,-75.5437316304,Tramo de via,19,7,6,1,1,6.24013976346,0
Otro,-75.5789534362,Tramo de via,0,8,6,1,1,6.30224752312,1
Caida Ocupante,-75.5441457218,Tramo de via,0,8,6,1,1,6.23806020021,1
Choque,-75.6155118872,Tramo de via,0,9,6,1,1,6.25399077928,1
Choque,-75.555082627,Interseccion,30,9,6,1,1,6.23284150176,1
Choque,-75.5778924993,Tramo de via,40,9,6,1,1,6.23961416776,0
Atropello,-75.5799601882,Tramo de via,0,10,6,1,1,6.25948627243,1
Atropello,-75.5537751395,Tramo de via,45,10,6,1,1,6.25994880576,1
Choque,-75.569336769,Tramo de via,0,11,6,1,1,6.2931261507,1
Volcamiento,-75.5503011354,Interseccion,0,11,6,1,1,6.27129196809,1
Volcamiento,-75.5692972079,Tramo de via,30,11,6,1,1,6.28057704691,1
Atropello,-75.6025339597,Tramo de via,30,11,6,1,1,6.2131209088,1
Otro,-75.5898859852,Tramo de via,0,12,6,1,1,6.28666779941,1
Otro,-75.5943634374,Tramo de via,20,12,6,1,1,6.29162383603,1
Choque,-75.5750929761,Tramo de via,30,12,6,1,1,6.26564076393,1
Choque,-75.5625229969,Interseccion,30,12,6,1,1,6.27338757552,1
Otro,-75.5754346498,Tramo de via,0,13,6,1,1,6.29503502869,1
Choque,-75.5675932445,Tramo de via,0,15,6,1,1,6.18469089403,0
Otro,-75.5829751029,Tramo de via,0,15,6,1,1,6.28741868315,1
Choque,-75.5826631203,Tramo de via,0,15,6,1,1,6.29770133318,1
Choque,-75.564656238,Tramo de via,15,15,6,1,1,6.26052275608,0
Volcamiento,-75.5865747211,Tramo de via,30,15,6,1,1,6.20529387215,1
Otro,-75.5788424338,Tramo de via,0,16,6,1,1,6.25916124328,1
Choque,-75.5564781375,Tramo de via,20,16,6,1,1,6.23911355529,0
Choque,-75.5632939885,Tramo de via,0,17,6,1,1,6.24395751483,0
Choque,-75.5469048264,Tramo de via,0,17,6,1,1,6.2378790398,0
Choque,-75.5861433017,Tramo de via,5,17,6,1,1,6.21531309268,0
Otro,-75.5545168111,Tramo de via,30,17,6,1,1,6.24482001589,1
Otro,-75.5826341985,Tramo de via,30,17,6,1,1,6.22666991306,1
Choque,-75.5510521323,Interseccion,35,17,6,1,1,6.28828886563,1
Choque,-75.5647823909,Tramo de via,30,18,6,1,1,6.27380539537,0
Choque,-75.5715662819,Tramo de via,0,19,6,1,1,6.20128813035,0
Atropello,-75.5581849075,Tramo de via,0,19,6,1,1,6.30489874504,1
Choque,-75.5536552233,Tramo de via,15,19,6,1,1,6.26266899745,1
Choque,-75.5940788069,Interseccion,30,19,6,1,1,6.28012886706,1
Caida Ocupante,-75.5733203488,Tramo de via,10,20,6,1,1,6.26303021803,1
Atropello,-75.5607653332,Tramo de via,53,20,6,1,1,6.29271060548,1
Atropello,-75.6476629834,Tramo de via,0,21,6,1,1,6.18661444503,1
Caida Ocupante,-75.5503847027,Tramo de via,20,21,6,1,1,6.25734188384,1
Caida Ocupante,-75.5528531957,Tramo de via,30,21,6,1,1,6.30051787704,1
Atropello,-75.533967323,Interseccion,30,22,6,1,1,6.2359650914,1
Atropello,-75.5463445975,Tramo de via,30,22,6,1,1,6.29351014995,1
Atropello,-75.5637548092,Tramo de via,50,22,6,1,1,6.29367793372,1
Choque,-75.586629802,Tramo de via,50,22,6,1,1,6.25240681606,0
Caida Ocupante,-75.5530943766,Tramo de via,50,22,6,1,1,6.26249755555,1
Atropello,-75.533967323,Tramo de via,30,23,6,1,1,6.2359650914,1
Choque,-75.5952208163,Tramo de via,30,23,6,1,1,6.27024557187,0
Choque,-75.5614584211,Interseccion,30,23,6,1,1,6.2732216414,1
Choque,-75.563663428,Interseccion,30,23,6,1,1,6.25515033472,1
Choque,-75.5694512045,Tramo de via,35,23,6,1,1,6.23688612894,0
Choque,-75.5831184382,Interseccion,0,0,0,2,1,6.24002908501,1
Choque,-75.5501898893,Tramo de via,10,0,0,2,1,6.23955694367,1
Choque,-75.5977126406,Tramo de via,10,0,0,2,1,6.24858199893,0
Choque,-75.5604097104,Tramo de via,20,0,0,2,1,6.29760286726,0
Choque,-75.5895965549,Tramo de via,30,0,0,2,1,6.28479827115,1
Choque,-75.5722186466,Tramo de via,30,0,0,2,1,6.26063343649,1
Choque,-75.5875625807,Tramo de via,10,1,0,2,1,6.23922612473,0
Choque,-75.5558584509,Tramo de via,15,1,0,2,1,6.26105653876,0
Caida Ocupante,-75.6066749179,Tramo de via,30,1,0,2,1,6.28108157996,1
Choque,-75.6022914456,Tramo de via,30,1,0,2,1,6.22563306347,0
Atropello,-75.5968613456,Interseccion,50,1,0,2,1,6.22609418839,1
Caida Ocupante,-75.5967358849,Tramo de via,0,2,0,2,1,6.23830989701,1
Choque,-75.5868488975,Tramo de via,30,2,0,2,1,6.23930075786,0
Choque,-75.5719462258,Tramo de via,50,2,0,2,1,6.28082096978,1
Atropello,-75.5644759026,Interseccion,50,2,0,2,1,6.27550562316,1
Choque,-75.5499589805,Tramo de via,0,3,0,2,1,6.27295171021,1
Choque,-75.5759991236,Interseccion,0,3,0,2,1,6.21492593967,1
Choque,-75.5778924993,Tramo de via,0,3,0,2,1,6.23961416776,1
Choque,-75.5851474936,Tramo de via,40,3,0,2,1,6.20320473784,1
Choque,-75.5739301559,Interseccion,20,4,0,2,1,6.24980076376,0
Choque,-75.5643047892,Interseccion,25,8,0,2,1,6.24448826963,1
Choque,-75.5834477429,Tramo de via,50,9,0,2,1,6.21582861999,0
Choque,-75.5790243395,Tramo de via,20,10,0,2,1,6.28522321979,1
Choque,-75.6063859072,Tramo de via,20,10,0,2,1,6.23340907694,1
Choque,-75.5635299512,Interseccion,30,10,0,2,1,6.24892502958,0
Choque,-75.5739606743,Tramo de via,40,10,0,2,1,6.27039040864,1
Choque,-75.5526094683,Tramo de via,30,11,0,2,1,6.24471752242,1
Atropello,-75.5795861274,Lote o Predio,30,11,0,2,1,6.19980140634,1
Choque,-75.573496302,Tramo de via,30,11,0,2,1,6.27627044541,1
Choque,-75.5765743781,Tramo de via,50,11,0,2,1,6.20874755798,1
Choque,-75.5635299512,Interseccion,10,12,0,2,1,6.24892502958,0
Choque,-75.5487566444,Interseccion,10,12,0,2,1,6.2727566669,1
Choque,-75.5626559037,Tramo de via,20,12,0,2,1,6.18839298776,1
Choque,-75.5493377523,Tramo de via,20,12,0,2,1,6.29456569235,1
Caida Ocupante,-75.5663707694,Lote o Predio,45,12,0,2,1,6.30359958137,1
Choque,-75.5753475572,Tramo de via,50,12,0,2,1,6.24336850011,0
Choque,-75.5964932463,Tramo de via,0,13,0,2,1,6.21375876444,1
Choque,-75.5646604864,Tramo de via,0,13,0,2,1,6.21807346345,0
Choque,-75.6001580292,Glorieta,3,13,0,2,1,6.24253872056,0
Choque,-75.5861953534,Tramo de via,10,13,0,2,1,6.25847594203,0
Choque,-75.5861433017,Tramo de via,15,13,0,2,1,6.21531309268,0
Choque,-75.5663875851,Tramo de via,20,13,0,2,1,6.24680809455,0
Choque,-75.568228468,Tramo de via,41,13,0,2,1,6.2466649369,0
Choque,-75.5607544809,Interseccion,0,14,0,2,1,6.25145266453,0
Otro,-75.5536926221,Lote o Predio,0,14,0,2,1,6.28568251333,1
Choque,-75.5740180019,Puente,20,14,0,2,1,6.25216662558,1
Caida Ocupante,-75.5731518199,Lote o Predio,45,14,0,2,1,6.26348855346,1
Choque,-75.5733422914,Tramo de via,50,14,0,2,1,6.22649303089,0
Choque,-75.6430373338,Tramo de via,0,15,0,2,1,6.177048407,1
Choque,-75.5485111093,Interseccion,0,15,0,2,1,6.24398773954,0
Choque,-75.5748442877,Interseccion,0,16,0,2,1,6.25759091439,0
Choque,-75.5461578539,Tramo de via,0,16,0,2,1,6.29473085178,0
Choque,-75.5703296967,Tramo de via,0,16,0,2,1,6.25346932441,0
Atropello,-75.5666566452,Tramo de via,0,16,0,2,1,6.24324346346,1
Otro,-75.6015669754,Tramo de via,0,16,0,2,1,6.22684509045,1
Choque,-75.5749918635,Tramo de via,20,16,0,2,1,6.25300932417,1
Caida Ocupante,-75.5830752502,Tramo de via,40,16,0,2,1,6.25699463722,1
Choque,-75.5854692084,Glorieta,50,16,0,2,1,6.21681314059,1
Choque,-75.5828583927,Tramo de via,50,16,0,2,1,6.23759963451,0
Choque,-75.5576354649,Tramo de via,55,16,0,2,1,6.27607913062,0
Choque,-75.5458509574,Tramo de via,0,17,0,2,1,6.1853921655,0
Choque,-75.5783124387,Tramo de via,10,17,0,2,1,6.21368240215,0
Otro,-75.5541660043,Interseccion,15,17,0,2,1,6.27898197761,1
Caida Ocupante,-75.5579215081,Tramo de via,30,17,0,2,1,6.29047042521,1
Atropello,-75.5702052616,Tramo de via,35,17,0,2,1,6.23450856533,1
Choque,-75.5759582208,Tramo de via,40,17,0,2,1,6.23144445578,0
Choque,-75.5755026696,Glorieta,45,17,0,2,1,6.2399699888,0
Choque,-75.5714579217,Interseccion,50,17,0,2,1,6.20575780093,1
Choque,-75.5969285089,Tramo de via,50,17,0,2,1,6.25007216556,0
Choque,-75.5543454938,Tramo de via,50,17,0,2,1,6.30651833175,1
Choque,-75.5850008163,Interseccion,10,18,0,2,1,6.20546576766,0
Choque,-75.5658318112,Tramo de via,10,18,0,2,1,6.247562758,0
Otro,-75.5545530267,Tramo de via,20,18,0,2,1,6.25357709031,1
Choque,-75.5748377743,Interseccion,20,18,0,2,1,6.25006385342,0
Choque,-75.6046737489,Paso Inferior,20,18,0,2,1,6.25960515947,0
Choque,-75.5702052616,Lote o Predio,30,18,0,2,1,6.23450856533,1
Choque,-75.565753644,Tramo de via,30,18,0,2,1,6.27260109162,0
Volcamiento,-75.5931532868,Tramo de via,40,18,0,2,1,6.28381469211,1
Choque,-75.5952020588,Tramo de via,50,18,0,2,1,6.26472529697,0
Choque,-75.5733734748,Lote o Predio,0,19,0,2,1,6.2117370619,0
Choque,-75.580854648,Tramo de via,10,19,0,2,1,6.19507345612,0
Choque,-75.5619554388,Lote o Predio,30,19,0,2,1,6.2088117239,0
Volcamiento,-75.5992538845,Interseccion,50,19,0,2,1,6.24538316851,1
Choque,-75.5649558467,Interseccion,50,19,0,2,1,6.20854630292,1
Choque,-75.5663875851,Tramo de via,55,19,0,2,1,6.24680809455,0
Caida Ocupante,-75.5664428954,Tramo de via,0,20,0,2,1,6.26427554932,1
Caida Ocupante,-75.5694028548,Interseccion,0,20,0,2,1,6.27576650516,1
Otro,-75.6131251392,Tramo de via,0,20,0,2,1,6.25400851648,1
Otro,-75.5976274778,Tramo de via,5,20,0,2,1,6.25009156888,1
Choque,-75.6008647017,Tramo de via,20,20,0,2,1,6.26494363905,0
Choque,-75.5668593842,Tramo de via,30,20,0,2,1,6.26186503942,1
Volcamiento,-75.5705596502,Tramo de via,30,20,0,2,1,6.28917244671,1
Choque,-75.5799159251,Tramo de via,30,20,0,2,1,6.25945521261,1
Choque,-75.6194125888,Lote o Predio,30,20,0,2,1,6.23568504466,0
Caida Ocupante,-75.6015336215,Lote o Predio,0,21,0,2,1,6.25998445044,1
Otro,-75.5554942761,Lote o Predio,0,21,0,2,1,6.25622713221,1
Choque,-75.5788771402,Lote o Predio,10,21,0,2,1,6.20362589313,1
Volcamiento,-75.5697419318,Lote o Predio,20,21,0,2,1,6.25660755504,1
Choque,-75.5632460176,Glorieta,30,21,0,2,1,6.26408004568,0
Choque,-75.5963556369,Tramo de via,40,21,0,2,1,6.23358776419,0
Choque,-75.5992111445,Tramo de via,40,21,0,2,1,6.23119328491,1
Choque,-75.5477124218,Tramo de via,50,21,0,2,1,6.25051229087,1
Choque,-75.5654798383,Interseccion,30,22,0,2,1,6.26412722962,0
Caida Ocupante,-75.5791647988,Tramo de via,30,22,0,2,1,6.25161364107,1
Choque,-75.5646952618,Puente,30,22,0,2,1,6.2861725593,1
Choque,-75.5756454277,Puente,30,22,0,2,1,6.24557538955,1
Choque,-75.5799752728,Tramo de via,40,22,0,2,1,6.20417934614,0
Choque,-75.5791647988,Tramo de via,40,22,0,2,1,6.25161364107,0
Atropello,-75.5769378917,Tramo de via,40,22,0,2,1,6.25400165437,1
Atropello,-75.5803102909,Tramo de via,45,22,0,2,1,6.29237857734,1
Choque,-75.5750975614,Interseccion,50,22,0,2,1,6.22412049391,1
Choque,-75.5820270574,Glorieta,50,22,0,2,1,6.21503465223,0
Choque,-75.6030550903,Glorieta,10,23,0,2,1,6.23895214881,1
Otro,-75.5768654112,Lote o Predio,30,23,0,2,1,6.26798743494,1
Choque,-75.5537758983,Interseccion,40,23,0,2,1,6.28449030902,0
Choque,-75.5637764103,Interseccion,55,23,0,2,1,6.24300970343,1
Atropello,-75.6220991313,Tramo de via,0,0,1,3,1,6.25181456958,1
Choque,-75.609064318,Interseccion,10,0,1,3,1,6.25085954597,1
Choque,-75.5750857694,Tramo de via,10,0,1,3,1,6.26472905268,0
Choque,-75.5612296698,Interseccion,15,0,1,3,1,6.27497371777,1
Choque,-75.5786618661,Tramo de via,20,0,1,3,1,6.22471249781,1
Otro,-75.5954100163,Lote o Predio,30,0,1,3,1,6.26938256591,1
Otro,-75.5485500108,Tramo de via,45,0,1,3,1,6.29362145822,1
Otro,-75.5954100163,Tramo de via,0,1,1,3,1,6.26938256591,1
Caida Ocupante,-75.5644912602,Tramo de via,25,1,1,3,1,6.20048072405,1
Otro,-75.5840247016,Tramo de via,30,1,1,3,1,6.28453720019,1
Choque,-75.6512228585,Tramo de via,30,1,1,3,1,6.18303149216,0
Choque,-75.5752597216,Glorieta,40,1,1,3,1,6.24685341912,0
Choque,-75.5747418214,Tramo de via,0,2,1,3,1,6.30386325035,0
Choque,-75.5790206987,Lote o Predio,0,2,1,3,1,6.2037958823,1
Choque,-75.5769378917,Tramo de via,0,2,1,3,1,6.25400165437,1
Otro,-75.5843471165,Tramo de via,10,2,1,3,1,6.28440827151,1
Choque,-75.5735618761,Interseccion,15,2,1,3,1,6.27629782879,1
Choque,-75.6016763584,Tramo de via,20,2,1,3,1,6.22681159965,0
Otro,-75.5772772686,Tramo de via,30,2,1,3,1,6.21387146394,1
Otro,-75.5897176584,Lote o Predio,30,3,1,3,1,6.23447355717,1
Choque,-75.5655979284,Tramo de via,34,3,1,3,1,6.23110352913,1
Otro,-75.5818944186,Tramo de via,50,3,1,3,1,6.28237872327,1
Choque,-75.5830289027,Tramo de via,50,9,1,3,1,6.20228646782,1
Choque,-75.5704658032,Lote o Predio,50,10,1,3,1,6.30991431494,1
Choque,-75.5682550183,Tramo de via,10,11,1,3,1,6.27513664013,1
Choque,-75.5881425234,Tramo de via,20,11,1,3,1,6.27853049328,0
Choque,-75.5624676108,Interseccion,35,11,1,3,1,6.2570247389,1
Choque,-75.6030550903,Glorieta,36,11,1,3,1,6.23895214881,0
Caida Ocupante,-75.6037067977,Tramo de via,40,11,1,3,1,6.28054155075,1
Choque,-75.5594170785,Tramo de via,40,11,1,3,1,6.30653810585,1
Atropello,-75.5723748687,Tramo de via,45,11,1,3,1,6.27305148763,1
Caida Ocupante,-75.5536318238,Tramo de via,0,12,1,3,1,6.26928926115,1
Caida Ocupante,-75.5790053257,Tramo de via,10,12,1,3,1,6.27275347599,1
Choque,-75.5967277363,Tramo de via,10,12,1,3,1,6.26375211873,1
Choque,-75.5554306969,Tramo de via,20,12,1,3,1,6.23778368705,0
Otro,-75.5805195389,Tramo de via,30,12,1,3,1,6.2480020807,1
Choque,-75.5926275787,Interseccion,30,12,1,3,1,6.27027305179,0
Volcamiento,-75.5735618761,Tramo de via,30,12,1,3,1,6.27629782879,1
Choque,-75.5736325778,Interseccion,45,12,1,3,1,6.19920056965,0
Otro,-75.5968346316,Tramo de via,10,13,1,3,1,6.2349579471,1
Otro,-75.6567359917,Tramo de via,15,13,1,3,1,6.18367075466,1
Choque,-75.5685985552,Interseccion,20,13,1,3,1,6.24975543455,0
Choque,-75.566494855,Tramo de via,30,13,1,3,1,6.26431291624,1
Atropello,-75.568553277,Interseccion,40,13,1,3,1,6.24524859423,1
Choque,-75.5875124763,Tramo de via,0,14,1,3,1,6.21201047371,0
Caida Ocupante,-75.5827699774,Tramo de via,20,14,1,3,1,6.23177841285,1
Choque,-75.5654798383,Tramo de via,20,14,1,3,1,6.26412722962,0
Atropello,-75.5713626954,Tramo de via,30,14,1,3,1,6.20446748418,1
Choque,-75.5913638259,Tramo de via,30,14,1,3,1,6.22834889451,1
Choque,-75.5849791188,Glorieta,30,14,1,3,1,6.21850583885,0
Caida Ocupante,-75.564759432,Tramo de via,30,14,1,3,1,6.26404411907,1
Choque,-75.5588548676,Interseccion,50,14,1,3,1,6.3010329418,1
Choque,-75.5629344988,Interseccion,0,15,1,3,1,6.25629943476,1
Volcamiento,-75.569336769,Tramo de via,0,15,1,3,1,6.2931261507,1
Choque,-75.5633487293,Tramo de via,8,15,1,3,1,6.24626355112,0
Choque,-75.5996194142,Tramo de via,10,15,1,3,1,6.24261422117,0
Choque,-75.5872461848,Tramo de via,20,15,1,3,1,6.22929077133,0
Choque,-75.5926544144,Interseccion,44,15,1,3,1,6.22836254576,0
Caida Ocupante,-75.6591213609,Tramo de via,45,15,1,3,1,6.18461937998,1
Choque,-75.5784103406,Puente,50,15,1,3,1,6.24750017019,0
Choque,-75.5958832121,Tramo de via,0,16,1,3,1,6.26751182859,0
Choque,-75.6030006299,Tramo de via,0,16,1,3,1,6.21118981466,1
Choque,-75.5858765208,Tramo de via,45,16,1,3,1,6.2013631132,0
Choque,-75.5998138083,Interseccion,0,17,1,3,1,6.24996040831,0
Choque,-75.5744419453,Tramo de via,3,17,1,3,1,6.2318691934,0
Otro,-75.5931430393,Tramo de via,20,17,1,3,1,6.27330476643,1
Choque,-75.5663860778,Interseccion,20,17,1,3,1,6.30149105072,0
Choque,-75.5705233818,Glorieta,30,17,1,3,1,6.25780009822,0
Choque,-75.5733892852,Tramo de via,30,17,1,3,1,6.26033577296,0
Choque,-75.573135644,Tramo de via,30,17,1,3,1,6.27398165897,0
Choque,-75.5615108146,Tramo de via,30,17,1,3,1,6.24823124389,0
Choque,-75.5447974442,Tramo de via,40,17,1,3,1,6.26636920013,0
Caida Ocupante,-75.5699569831,Tramo de via,0,18,1,3,1,6.2312009523,1
Choque,-75.5744419453,Tramo de via,0,18,1,3,1,6.2318691934,0
Choque,-75.5705141767,Tramo de via,0,18,1,3,1,6.20299614829,0
Otro,-75.6580536729,Tramo de via,15,18,1,3,1,6.18458414062,1
Choque,-75.5713132917,Tramo de via,20,18,1,3,1,6.25284062778,0
Caida Ocupante,-75.5458566336,Tramo de via,30,18,1,3,1,6.28107336338,1
Choque,-75.5722542755,Tramo de via,30,18,1,3,1,6.28233711292,0
Choque,-75.5784103406,Interseccion,40,18,1,3,1,6.24750017019,0
Choque,-75.5716173133,Tramo de via,45,18,1,3,1,6.20343625023,0
Choque,-75.59359828,Interseccion,45,18,1,3,1,6.25497160898,0
Choque,-75.541250566,Tramo de via,50,18,1,3,1,6.23648205229,0
Choque,-75.5899090148,Tramo de via,0,19,1,3,1,6.25151829719,0
Caida Ocupante,-75.6087693342,Tramo de via,0,19,1,3,1,6.28985428137,1
Choque,-75.562168409,Interseccion,30,19,1,3,1,6.246901556,0
Atropello,-75.5699974649,Tramo de via,40,19,1,3,1,6.24735877314,1
Choque,-75.5954595105,Interseccion,48,19,1,3,1,6.24832111841,0
Choque,-75.5710158166,Tramo de via,0,20,1,3,1,6.24172095721,1
Caida Ocupante,-75.5752597216,Tramo de via,0,20,1,3,1,6.24685341912,1
Choque,-75.5404673401,Tramo de via,0,20,1,3,1,6.24412279458,0
Choque,-75.5833169002,Tramo de via,0,20,1,3,1,6.24856556,0
Choque,-75.5650730452,Tramo de via,15,20,1,3,1,6.22819696104,0
Choque,-75.5802348129,Interseccion,20,20,1,3,1,6.25866550809,1
Choque,-75.5535941472,Tramo de via,30,20,1,3,1,6.23604707168,0
Choque,-75.5988676532,Interseccion,30,20,1,3,1,6.21930996357,0
Choque,-75.6016962668,Tramo de via,50,20,1,3,1,6.25208031597,0
Choque,-75.5788393972,Glorieta,0,21,1,3,1,6.27591743579,0
Choque,-75.5857361838,Interseccion,0,21,1,3,1,6.20734570864,0
Volcamiento,-75.5703296967,Tramo de via,0,21,1,3,1,6.25346932441,1
Choque,-75.5745822427,Tramo de via,0,21,1,3,1,6.27357083616,1
Caida Ocupante,-75.5769378917,Tramo de via,0,21,1,3,1,6.25400165437,1
Choque,-75.5673220924,Tramo de via,0,21,1,3,1,6.25089424734,0
Choque,-75.5873948982,Tramo de via,20,21,1,3,1,6.23479786522,0
Choque,-75.5706492086,Tramo de via,20,21,1,3,1,6.29345514735,1
Choque,-75.6167510529,Interseccion,30,21,1,3,1,6.25694348988,1
Otro,-75.6192285853,Tramo de via,30,21,1,3,1,6.28042156635,0
Choque,-75.6158726874,Interseccion,30,21,1,3,1,6.24521217978,0
Choque,-75.5788302347,Tramo de via,30,21,1,3,1,6.24769766164,0
Otro,-75.5833169002,Tramo de via,30,21,1,3,1,6.24856556,1
Choque,-75.6057376396,Tramo de via,40,21,1,3,1,6.22142697711,0
Choque,-75.5762933259,Tramo de via,45,21,1,3,1,6.19309168778,0
Choque,-75.5854692084,Glorieta,50,21,1,3,1,6.21681314059,1
Caida Ocupante,-75.5673447158,Tramo de via,0,22,1,3,1,6.23351913639,1
Choque,-75.5680943317,Ciclo Ruta,0,22,1,3,1,6.2092348803,0
Otro,-75.5737166551,Tramo de via,10,22,1,3,1,6.25080395203,1
Choque,-75.5649820793,Tramo de via,15,22,1,3,1,6.19541271876,0
Caida Ocupante,-75.5852428016,Interseccion,20,22,1,3,1,6.25565346036,1
Choque,-75.5685145902,Tramo de via,30,22,1,3,1,6.2438672705,0
Otro,-75.642335421,Tramo de via,45,22,1,3,1,6.1726664889,1
