Tipo_accidente,Longitude,Diseño Via,Minute,Hour,Day_of_week,Day_of_year,Month,Latitude,Class
Otro,-75.5592064689,Tramo de via,15,5,2,1,1,6.26692720514,1
Atropello,-75.5534632834,Tramo de via,30,5,2,1,1,6.28938029034,1
Atropello,-75.6076204174,Tramo de via,37,5,2,1,1,6.2342063006,1
Atropello,-75.5682712924,Tramo de via,50,5,2,1,1,6.25999652159,1
Atropello,-75.5500449822,Tramo de via,0,6,2,1,1,6.26480346497,1
Choque,-75.5921275475,Tramo de via,20,6,2,1,1,6.28171444242,1
Choque,-75.5958545903,Tramo de via,30,6,2,1,1,6.25788828551,1
Caida Ocupante,-75.5767542122,Tramo de via,0,7,2,1,1,6.2200393914,1
Choque,-75.6026929027,Tramo de via,20,7,2,1,1,6.21891005696,1
Choque,-75.5555866067,Interseccion,0,9,2,1,1,6.28452017805,1
Otro,-75.5896659038,Tramo de via,0,9,2,1,1,6.2825344863,1
Choque,-75.5748751856,Tramo de via,15,9,2,1,1,6.25429155979,0
Choque,-75.5792711732,Tramo de via,20,9,2,1,1,6.20912156366,1
Otro,-75.5881425234,Tramo de via,30,9,2,1,1,6.27853049328,1
Otro,-75.5553869602,Tramo de via,30,9,2,1,1,6.272155853,0
Choque,-75.5422500102,Tramo de via,40,9,2,1,1,6.23494930264,0
Choque,-75.554627185,Interseccion,0,10,2,1,1,6.23578446736,1
Choque,-75.5628222491,Interseccion,30,10,2,1,1,6.29076838339,0
Otro,-75.5822718603,Tramo de via,45,10,2,1,1,6.28932488736,1
Otro,-75.573496302,Tramo de via,55,10,2,1,1,6.27627044541,1
Otro,-75.5614934363,Tramo de via,0,11,2,1,1,6.30922247884,1
Caida Ocupante,-75.6002119766,Tramo de via,40,11,2,1,1,6.26885302782,1
Atropello,-75.6058478065,Tramo de via,0,12,2,1,1,6.22650900713,1
Choque,-75.5501885491,Tramo de via,0,12,2,1,1,6.20595569096,1
Otro,-75.5776455195,Tramo de via,25,12,2,1,1,6.25436112717,0
Choque,-75.5872766031,Interseccion,40,12,2,1,1,6.23165280629,0
Otro,-75.5647398179,Tramo de via,0,13,2,1,1,6.24928048264,1
Choque,-75.5554658555,Tramo de via,50,13,2,1,1,6.25218747835,1
Otro,-75.6219159638,Tramo de via,0,14,2,1,1,6.24467742429,1
Caida Ocupante,-75.5798433731,Tramo de via,40,15,2,1,1,6.3001932543,1
Choque,-75.5544103494,Interseccion,0,16,2,1,1,6.26311641517,0
Caida Ocupante,-75.5434055363,Tramo de via,0,16,2,1,1,6.26961617659,1
Choque,-75.5455929425,Tramo de via,30,17,2,1,1,6.28868262944,1
Choque,-75.560496533,Interseccion,20,18,2,1,1,6.27572942836,1
Choque,-75.5690690869,Tramo de via,20,18,2,1,1,6.25561230725,1
Caida Ocupante,-75.6355847353,Tramo de via,30,18,2,1,1,6.27864182165,1
Otro,-75.5918856225,Tramo de via,30,18,2,1,1,6.29217583568,1
Choque,-75.5737802262,Tramo de via,50,18,2,1,1,6.27544305503,0
Volcamiento,-75.5864479898,Tramo de via,20,19,2,1,1,6.21715493486,1
Caida Ocupante,-75.5551017821,Tramo de via,0,20,2,1,1,6.26741490526,1
Choque,-75.5432506001,Tramo de via,0,20,2,1,1,6.26524591257,0
Otro,-75.5951218662,Tramo de via,30,20,2,1,1,6.28097230126,1
Atropello,-75.547321239,Tramo de via,0,21,2,1,1,6.2988212873,1
Atropello,-75.5939200295,Tramo de via,0,21,2,1,1,6.28713068731,1
Choque,-75.5615552774,Tramo de via,0,21,2,1,1,6.25730383992,0
Atropello,-75.54632228,Tramo de via,20,21,2,1,1,6.29022799359,1
Otro,-75.5870166808,Tramo de via,30,21,2,1,1,6.2870124527,1
Choque,-75.5478897359,Tramo de via,45,21,2,1,1,6.26569097019,0
Atropello,-75.5448877598,Tramo de via,0,22,2,1,1,6.26222126222,1
Choque,-75.5586879787,Tramo de via,10,23,2,1,1,6.27360336092,1
Choque,-75.5892186871,Tramo de via,20,23,2,1,1,6.20710599007,0
Otro,-75.5895532697,Tramo de via,20,23,2,1,1,6.27712511457,1
Choque,-75.5427176564,Tramo de via,20,23,2,1,1,6.29315088586,0
Atropello,-75.5752538073,Tramo de via,0,0,3,2,1,6.24909389652,1
Choque,-75.5702123608,Tramo de via,15,0,3,2,1,6.23625210464,0
Choque,-75.5727410474,Tramo de via,54,0,3,2,1,6.26529420667,0
Choque,-75.5727410474,Tramo de via,0,1,3,2,1,6.26529420667,0
Atropello,-75.5368522923,Tramo de via,0,1,3,2,1,6.25689305032,1
Choque,-75.5844577034,Tramo de via,50,1,3,2,1,6.25764188127,0
Choque,-75.5920436489,Tramo de via,0,2,3,2,1,6.27644085772,0
Choque,-75.5628222491,Tramo de via,15,2,3,2,1,6.29076838339,1
Caida Ocupante,-75.5618215986,Tramo de via,20,2,3,2,1,6.29298973141,1
Otro,-75.5644759026,Tramo de via,20,2,3,2,1,6.27550562316,1
Atropello,-75.5519938825,Tramo de via,45,2,3,2,1,6.30401992007,1
Choque,-75.5939737045,Tramo de via,0,3,3,2,1,6.26620997145,0
Caida Ocupante,-75.5925195682,Tramo de via,30,3,3,2,1,6.27241211084,1
Choque,-75.5700742865,Interseccion,50,3,3,2,1,6.25132386751,0
Otro,-75.5560475892,Tramo de via,0,4,3,2,1,6.24854204608,1
Choque,-75.5639916459,Glorieta,20,4,3,2,1,6.27772306046,1
Choque,-75.5878631764,Tramo de via,30,4,3,2,1,6.24719144155,0
Choque,-75.6169818049,Tramo de via,50,4,3,2,1,6.25359190475,1
Volcamiento,-75.5753640012,Tramo de via,0,5,3,2,1,6.24069888334,1
Choque,-75.5872909248,Interseccion,25,5,3,2,1,6.28665749229,1
Otro,-75.552865153,Tramo de via,25,6,3,2,1,6.2805089194,1
Choque,-75.5861350383,Tramo de via,30,6,3,2,1,6.25845460122,0
Choque,-75.5718700112,Tramo de via,50,7,3,2,1,6.25006605894,1
Choque,-75.5538955345,Tramo de via,30,10,3,2,1,6.26820122798,1
Caida Ocupante,-75.5822336127,Tramo de via,40,10,3,2,1,6.29913777918,1
Choque,-75.6369556987,Interseccion,0,11,3,2,1,6.17604166142,0
Choque,-75.5632460176,Tramo de via,50,11,3,2,1,6.26408004568,1
Caida Ocupante,-75.5782095971,Tramo de via,15,12,3,2,1,6.28797855612,1
Choque,-75.6044421783,Interseccion,30,12,3,2,1,6.26127008784,1
Choque,-75.5709938429,Tramo de via,30,12,3,2,1,6.18118111397,0
Choque,-75.5735908399,Interseccion,30,12,3,2,1,6.28365786178,0
Choque,-75.5691618187,Tramo de via,40,12,3,2,1,6.22481029678,0
Choque,-75.5972749995,Tramo de via,58,12,3,2,1,6.2243151086,1
Choque,-75.5998541277,Interseccion,0,13,3,2,1,6.22589880883,0
Caida Ocupante,-75.5885012726,Tramo de via,0,13,3,2,1,6.28761561926,1
Choque,-75.5895532697,Tramo de via,0,13,3,2,1,6.27712511457,0
Caida Ocupante,-75.5695054078,Tramo de via,4,13,3,2,1,6.2614059055,1
Choque,-75.5743001574,Interseccion,10,13,3,2,1,6.21221851117,0
Choque,-75.5702851394,Tramo de via,16,13,3,2,1,6.30035339307,1
Otro,-75.5826690282,Tramo de via,30,13,3,2,1,6.23325052175,1
Atropello,-75.5776651552,Tramo de via,30,13,3,2,1,6.24704950369,1
Choque,-75.5725324068,Tramo de via,30,13,3,2,1,6.22547855141,0
Choque,-75.5647398179,Tramo de via,50,13,3,2,1,6.24928048264,0
Choque,-75.610821242,Tramo de via,50,13,3,2,1,6.25415616897,0
Choque,-75.5837318984,Tramo de via,10,14,3,2,1,6.24540739972,0
Choque,-75.5763953238,Tramo de via,30,14,3,2,1,6.19418781216,0
Choque,-75.6026461031,Tramo de via,50,14,3,2,1,6.2450843554,1
Otro,-75.563547107,Tramo de via,0,15,3,2,1,6.25544942344,1
Otro,-75.5735302309,Interseccion,0,15,3,2,1,6.24855606554,1
Choque,-75.5652605788,Tramo de via,20,15,3,2,1,6.24834593975,1
Choque,-75.6041612531,Tramo de via,20,15,3,2,1,6.24608171537,0
Choque,-75.5559634029,Tramo de via,21,15,3,2,1,6.1853154842,0
Otro,-75.5961294302,Tramo de via,40,15,3,2,1,6.22946658344,0
Caida Ocupante,-75.589313202,Tramo de via,0,16,3,2,1,6.2397866157,1
Choque,-75.6016962668,Tramo de via,20,16,3,2,1,6.25208031597,0
Choque,-75.5879358553,Tramo de via,30,16,3,2,1,6.27869687448,0
Choque,-75.5821595091,Tramo de via,30,16,3,2,1,6.3040210606,0
Choque,-75.5879784166,Tramo de via,30,16,3,2,1,6.25253573293,0
Atropello,-75.5713309615,Tramo de via,40,16,3,2,1,6.25114095248,1
Atropello,-75.5648757336,Tramo de via,0,17,3,2,1,6.27820805593,1
Choque,-75.5666004966,Interseccion,10,17,3,2,1,6.2091742716,0
Choque,-75.5492840173,Tramo de via,20,17,3,2,1,6.24269507284,0
Choque,-75.5636262671,Tramo de via,20,17,3,2,1,6.28741881746,1
Choque,-75.5885223638,Interseccion,25,17,3,2,1,6.21072026902,0
Choque,-75.5660965116,Tramo de via,30,17,3,2,1,6.26627320222,0
Choque,-75.6004113088,Interseccion,30,17,3,2,1,6.25549752805,0
Choque,-75.5865268196,Tramo de via,30,17,3,2,1,6.25297361941,0
Choque,-75.6083911582,Interseccion,40,17,3,2,1,6.2294214695,1
Otro,-75.5681263378,Tramo de via,45,17,3,2,1,6.25481416406,1
Otro,-75.5836410362,Tramo de via,50,17,3,2,1,6.25785122956,1
Choque,-75.5917354157,Tramo de via,0,18,3,2,1,6.26774004779,1
Caida Ocupante,-75.5655689708,Tramo de via,10,18,3,2,1,6.30664396797,1
Otro,-75.5629063762,Tramo de via,10,18,3,2,1,6.2861282883,0
Choque,-75.5761466627,Tramo de via,15,18,3,2,1,6.21334133339,0
Choque,-75.5994920895,Interseccion,15,18,3,2,1,6.24388084038,0
Atropello,-75.5523078128,Tramo de via,25,18,3,2,1,6.27160253237,1
Choque,-75.6218635809,Interseccion,30,18,3,2,1,6.25450565504,0
Otro,-75.5741954398,Tramo de via,30,18,3,2,1,6.23359338169,1
