Tipo_accidente,Longitude,Diseño Via,Minute,Hour,Day_of_week,Day_of_year,Month,Latitude,Class
Atropello,-75.5417973557,Tramo de via,0,5,3,1,1,6.29467710869,1
Atropello,-75.6104490999,Tramo de via,10,5,3,1,1,6.25835227605,1
Choque,-75.5706725073,Tramo de via,30,5,3,1,1,6.30950205993,1
Atropello,-75.5616239302,Tramo de via,30,5,3,1,1,6.27236213656,1
Caida Ocupante,-75.573496302,Tramo de via,0,6,3,1,1,6.27627044541,1
Choque,-75.5555866067,Interseccion,0,6,3,1,1,6.28452017805,1
Atropello,-75.5935865337,Tramo de via,10,6,3,1,1,6.22373353484,1
Otro,-75.5455842431,Tramo de via,0,7,3,1,1,6.28271320442,1
Atropello,-75.6051329081,Interseccion,0,7,3,1,1,6.22271558521,1
Choque,-75.5796542603,Tramo de via,30,7,3,1,1,6.20402287763,1
Atropello,-75.5749408432,Tramo de via,55,7,3,1,1,6.29197709332,1
Atropello,-75.5743264457,Tramo de via,30,8,3,1,1,6.30431343834,1
Choque,-75.6076957324,Interseccion,45,8,3,1,1,6.24232694556,1
Volcamiento,-75.5721967339,Tramo de via,30,9,3,1,1,6.23888025716,1
Atropello,-75.5730009697,Tramo de via,30,10,3,1,1,6.27614313661,1
Atropello,-75.5505909067,Tramo de via,45,10,3,1,1,6.25855470159,1
Otro,-75.5958159843,Tramo de via,30,11,3,1,1,6.2935055239,1
Otro,-75.569360451,Tramo de via,55,11,3,1,1,6.2757543321,1
Otro,-75.6013828842,Ciclo Ruta,0,12,3,1,1,6.20934020682,1
Otro,-75.5691663863,Tramo de via,30,12,3,1,1,6.22297126461,1
Atropello,-75.5777710835,Tramo de via,40,12,3,1,1,6.29830705797,1
Choque,-75.5533907509,Tramo de via,55,12,3,1,1,6.27710653613,0
Atropello,-75.5592546352,Tramo de via,0,13,3,1,1,6.23396851831,1
Caida Ocupante,-75.5544795767,Tramo de via,0,14,3,1,1,6.277282903,1
Choque,-75.5955932963,Tramo de via,20,14,3,1,1,6.22099711432,0
Choque,-75.5575269697,Tramo de via,20,14,3,1,1,6.28103894772,1
Caida Ocupante,-75.5562886624,Tramo de via,40,14,3,1,1,6.28174094238,1
Atropello,-75.5538556086,Ciclo Ruta,40,14,3,1,1,6.28222528823,1
Volcamiento,-75.6364746306,Tramo de via,0,15,3,1,1,6.22128065395,1
Otro,-75.5827699774,Tramo de via,0,15,3,1,1,6.23177841285,1
Atropello,-75.5524455447,Tramo de via,21,15,3,1,1,6.30498886888,1
Choque,-75.5573610597,Tramo de via,40,16,3,1,1,6.27164523638,1
Atropello,-75.58313949,Tramo de via,40,17,3,1,1,6.28341767148,1
Atropello,-75.6293732396,Tramo de via,0,18,3,1,1,6.24962424133,1
Choque,-75.6041382719,Tramo de via,5,18,3,1,1,6.28005098652,1
Atropello,-75.5629063762,Tramo de via,0,19,3,1,1,6.2861282883,1
Caida Ocupante,-75.5946213148,Tramo de via,15,19,3,1,1,6.28341152316,1
Caida Ocupante,-75.5689913671,Ciclo Ruta,27,19,3,1,1,6.29400488172,1
Choque,-75.5446124229,Tramo de via,30,19,3,1,1,6.28899363632,1
Atropello,-75.5761325714,Tramo de via,30,19,3,1,1,6.28397374993,1
Atropello,-75.5729889855,Tramo de via,0,20,3,1,1,6.29560276444,1
Choque,-75.586875191,Ciclo Ruta,5,20,3,1,1,6.22796076046,1
Atropello,-75.5560830397,Tramo de via,0,21,3,1,1,6.29599758884,1
Atropello,-75.5389903971,Tramo de via,0,21,3,1,1,6.28449802816,1
Volcamiento,-75.5953312711,Ciclo Ruta,30,21,3,1,1,6.27488829713,1
Choque,-75.5737802262,Tramo de via,30,21,3,1,1,6.27544305503,0
Caida Ocupante,-75.6014906949,Lote o Predio,30,21,3,1,1,6.21064574071,1
Choque,-75.6138868031,Tramo de via,30,21,3,1,1,6.2774665637,1
Atropello,-75.5569180311,Tramo de via,45,21,3,1,1,6.2681179505,1
Atropello,-75.5734267028,Tramo de via,0,22,3,1,1,6.2873611232,1
Caida Ocupante,-75.5833807705,Tramo de via,30,22,3,1,1,6.29602875709,1
Atropello,-75.5818202682,Ciclo Ruta,30,23,3,1,1,6.28235380656,1
Otro,-75.5935349104,Tramo de via,30,23,3,1,1,6.27870473332,1
